,trade_date,index_name,symbol,circulated_cap,weight,price,create_time
159,20180901,UB20,ICX,293547582.938376,1.29958266153594,0.928876,2018-09-08 23:11:16
158,20180901,UB20,ZIL,318050424.776164,1.35273474222178,0.045205,2018-09-08 23:11:16
157,20180901,UB20,ONT,339023719.631667,1.39662462897197,2.54,2018-09-08 23:11:16
156,20180901,UB20,QTUM,438288827.704,1.58797936366592,4.76,2018-09-08 23:11:16
155,20180901,UB20,LSK,439876219.139333,1.59085243092431,4.65,2018-09-08 23:11:16
154,20180901,UB20,ZEC,705568130.184333,2.01481015967839,152.51,2018-09-08 23:11:16
153,20180901,UB20,VET,727292807.954486,2.04559333803606,0.017366,2018-09-08 23:11:16
152,20180901,UB20,XEM,1037844599.88468,2.44360395367397,0.106785,2018-09-08 23:11:16
151,20180901,UB20,NEO,1329271666.66667,2.76548640672566,20.87,2018-09-08 23:11:16
150,20180901,UB20,DASH,1401304550.26133,2.83942838981151,199.89,2018-09-08 23:11:16
149,20180901,UB20,ETC,1438935917.634,2.87730155746804,13.11,2018-09-08 23:11:16
148,20180901,UB20,XMR,1633730182.34033,3.06587765662545,119.53,2018-09-08 23:11:16
147,20180901,UB20,ADA,2792210676.1758,4.00810182183902,0.105445,2018-09-08 23:11:16
146,20180901,UB20,LTC,3572799007.01033,4.53386878133485,63.35,2018-09-08 23:11:16
145,20180901,UB20,XLM,4226582558.89308,4.931276250809,0.225959,2018-09-08 23:11:16
144,20180901,UB20,EOS,5054431104.792,5.39263212749831,6.62,2018-09-08 23:11:16
143,20180901,UB20,BCH,10064082959.2047,7.60942355073238,552.78,2018-09-08 23:11:16
142,20180901,UB20,XRP,13566858020.1884,8.8349540311909,0.338932,2018-09-08 23:11:16
141,20180901,UB20,ETH,32504824721.866,13.6753537205266,287.97,2018-09-08 23:11:16
140,20180901,UB20,BTC,115107241931.955,25.7345144267299,7065.42,2018-09-08 23:11:16
139,20181001,UB20,ICX,268138750.853424,1.28449639928151,0.659745,2018-10-11 16:52:23
138,20181001,UB20,ZIL,280450101.89999,1.31365372404179,0.035905,2018-10-11 16:52:23
137,20181001,UB20,QTUM,338380406.826667,1.44296469176431,3.87,2018-10-11 16:52:23
136,20181001,UB20,ONT,362395003.368667,1.49329015127939,2.01,2018-10-11 16:52:23
135,20181001,UB20,LSK,401670830.155333,1.5721292471629,3.39,2018-10-11 16:52:23
134,20181001,UB20,ZEC,618782659.119666,1.95129156628659,133.02,2018-10-11 16:52:23
133,20181001,UB20,VET,804653747.42148,2.22514142698284,0.012955,2018-10-11 16:52:23
132,20181001,UB20,XEM,873903899.9029,2.31891558278534,0.096714,2018-10-11 16:52:23
131,20181001,UB20,ETC,1209251600.764,2.7277931580869,11.32,2018-10-11 16:52:23
130,20181001,UB20,NEO,1242540000.0,2.76508374727948,19.0,2018-10-11 16:52:23
129,20181001,UB20,DASH,1618204229.30367,3.15551149232821,187.65,2018-10-11 16:52:23
128,20181001,UB20,XMR,1902783713.02733,3.42174635231346,115.88,2018-10-11 16:52:23
127,20181001,UB20,ADA,2119782595.18024,3.61159265613587,0.084907,2018-10-11 16:52:23
126,20181001,UB20,LTC,3391795247.56167,4.56843987882985,61.23,2018-10-11 16:52:23
125,20181001,UB20,XLM,4215383915.09104,5.09297644150517,0.259686,2018-10-11 16:52:23
124,20181001,UB20,EOS,5020597953.72,5.5581571612086,5.73,2018-10-11 16:52:23
123,20181001,UB20,BCH,8657005043.66067,7.29855584747078,535.89,2018-10-11 16:52:23
122,20181001,UB20,XRP,15401487550.8438,9.73496590523155,0.582903,2018-10-11 16:52:23
121,20181001,UB20,ETH,23224502871.7053,11.9543595391968,231.87,2018-10-11 16:52:23
120,20181001,UB20,BTC,114203223107.197,26.5089350308286,6641.7,2018-10-11 16:52:23
119,20181101,UB20,ICX,257377070.522244,1.27375032710129,0.654854,2018-11-03 11:02:01
