,trade_date,index_name,symbol,circulated_cap,weight,price,create_time
55,20180901,UBC7,ZEC,705568130.184333,4.88043953490146,152.51,2018-09-08 23:11:02
54,20180901,UBC7,DASH,1401304550.26133,6.87789790198882,199.89,2018-09-08 23:11:02
53,20180901,UBC7,XMR,1633730182.34033,7.42642201434717,119.53,2018-09-08 23:11:02
52,20180901,UBC7,LTC,3572799007.01033,10.982311331016,63.35,2018-09-08 23:11:02
51,20180901,UBC7,BCH,10064082959.2047,18.4321740469745,552.78,2018-09-08 23:11:02
50,20180901,UBC7,XRP,13566858020.1884,21.400755170772,0.338932,2018-09-08 23:11:02
49,20180901,UBC7,BTC,115107241931.955,30.0,7065.42,2018-09-08 23:11:02
48,20181001,UBC7,ZEC,618782659.119666,4.5332921651271,133.02,2018-10-11 16:51:14
47,20181001,UBC7,DASH,1618204229.30367,7.33096774069642,187.65,2018-10-11 16:51:14
46,20181001,UBC7,XMR,1902783713.02733,7.9494916075072,115.88,2018-10-11 16:51:14
45,20181001,UBC7,LTC,3391795247.56167,10.6135203305193,61.23,2018-10-11 16:51:14
44,20181001,UBC7,BCH,8657005043.66067,16.9561979417802,535.89,2018-10-11 16:51:14
43,20181001,UBC7,XRP,15401487550.8438,22.6165302143698,0.582903,2018-10-11 16:51:14
42,20181001,UBC7,BTC,114203223107.197,30.0,6641.7,2018-10-11 16:51:14
41,20181101,UBC7,ZEC,606030592.164667,4.45865677404673,123.58,2018-11-03 11:00:09
40,20181101,UBC7,DASH,1373095793.94067,6.71130824913171,152.62,2018-11-03 11:00:09
39,20181101,UBC7,XMR,1767475541.68067,7.61436119730911,104.74,2018-11-03 11:00:09
38,20181101,UBC7,LTC,3188516565.12433,10.2270671318612,49.93,2018-11-03 11:00:09
37,20181101,UBC7,BCH,8088868060.892,16.2892333102725,423.36,2018-11-03 11:00:09
36,20181101,UBC7,XRP,18597661272.576,24.6993733373788,0.450224,2018-11-03 11:00:09
35,20181101,UBC7,BTC,112347806313.394,30.0,6429.84,2018-11-03 11:00:09
34,20181201,UBC7,ZEC,545034114.320345,4.52040051485579,79.16,2018-12-01 16:02:45
33,20181201,UBC7,DASH,1113132525.22517,6.46008911597159,90.76,2018-12-01 16:02:45
32,20181201,UBC7,XMR,1424578367.93897,7.30816333837959,57.54,2018-12-01 16:02:45
31,20181201,UBC7,LTC,2520055088.68,9.72008560889561,31.65,2018-12-01 16:02:45
30,20181201,UBC7,BCH,6662315812.33276,15.8043879027004,168.12,2018-12-01 16:02:45
29,20181201,UBC7,XRP,18290987624.5849,26.186873519197,0.357889,2018-12-01 16:02:45
28,20181201,UBC7,BTC,93934966946.0179,30.0,3977.99,2018-12-01 16:02:45
27,20190101,UBC7,ZEC,332569451.355,4.54667285600345,56.44,2019-01-01 16:03:20
26,20190101,UBC7,DASH,655191448.344333,6.38170375538948,79.03,2019-01-01 16:03:20
25,20190101,UBC7,XMR,805596519.432,7.07638283564092,45.87,2019-01-01 16:03:20
24,20190101,UBC7,LTC,1727203976.11067,10.361540869969,30.49,2019-01-01 16:03:20
23,20190101,UBC7,BCH,2401653953.73567,12.2182145099644,161.84,2019-01-01 16:03:20
22,20190101,UBC7,XRP,13920247988.0547,29.4154851730327,0.353876,2019-01-01 16:03:20
21,20190101,UBC7,BTC,64835770109.8593,30.0,3742.32,2019-01-01 16:03:20
20,20190201,UBC7,ZEC,307656624.4105,4.40687292883128,,2019-02-01 16:03:59
19,20190201,UBC7,DASH,631038460.7955,6.31139421432567,,2019-02-01 16:03:59
18,20190201,UBC7,XMR,774119973.072,6.99039197809339,,2019-02-01 16:03:59
17,20190201,UBC7,LTC,1940481651.9395,11.0675670800481,,2019-02-01 16:03:59
16,20190201,UBC7,BCH,2340453949.3375,12.1547895210124,,2019-02-01 16:03:59
15,20190201,UBC7,XRP,13386434856.1347,29.0689842776892,,2019-02-01 16:03:59
14,20190201,UBC7,BTC,64027410721.3985,30.0,,2019-02-01 16:03:59
13,20190301,UBC7,ZEC,303453323.8725,4.35044480593577,,2019-03-01 16:04:42
12,20190301,UBC7,DASH,675171823.9925,6.48925542392835,,2019-03-01 16:04:42
11,20190301,UBC7,XMR,798126094.6775,7.0554296983174,,2019-03-01 16:04:42
10,20190301,UBC7,BCH,2208262169.5475,11.735808923438,,2019-03-01 16:04:42
9,20190301,UBC7,LTC,2480517746.665,12.438238583121,,2019-03-01 16:04:42
8,20190301,UBC7,XRP,12508119576.9699,27.9308225652595,,2019-03-01 16:04:42
7,20190301,UBC7,BTC,64823935768.0925,30.0,,2019-03-01 16:04:42
6,20190401,UBC7,ZEC,335245443.031667,4.2426109414913,60.49,2019-04-01 16:06:01
5,20190401,UBC7,DASH,794407997.62875,6.53090805934698,114.67,2019-04-01 16:06:01
4,20190401,UBC7,XMR,891999506.534583,6.92044582293618,57.62,2019-04-01 16:06:01
3,20190401,UBC7,BCH,2692762379.72667,12.0240502246455,168.84,2019-04-01 16:06:01
2,20190401,UBC7,LTC,3592274020.89792,13.8878972529199,60.76,2019-04-01 16:06:01
1,20190401,UBC7,XRP,12975072065.8354,26.3940876986601,0.312328,2019-04-01 16:06:01
0,20190401,UBC7,BTC,70393124121.0346,30.0,4136.71,2019-04-01 16:06:01
