,trade_date,index_name,symbol,circulated_cap,weight,price,create_time
55,20180901,UBI7,XEM,1037844599.88468,7.62999413859792,0.106785,2018-09-08 22:08:01
54,20180901,UBI7,NEO,1329271666.66667,8.63505112682603,20.87,2018-09-08 22:08:01
53,20180901,UBI7,ETC,1438935917.634,8.98418664998973,13.11,2018-09-08 22:08:01
52,20180901,UBI7,ADA,2792210676.1758,12.5150368010968,0.105445,2018-09-08 22:08:01
51,20180901,UBI7,XLM,4226582558.89308,15.3975888084931,0.225959,2018-09-08 22:08:01
50,20180901,UBI7,EOS,5054431104.792,16.8381424749964,6.62,2018-09-08 22:08:01
49,20180901,UBI7,ETH,32504824721.866,30.0,287.97,2018-09-08 22:08:01
48,20181001,UBI7,XEM,873903899.9029,7.35346000768528,0.096714,2018-10-11 16:50:22
47,20181001,UBI7,ETC,1209251600.764,8.6500423069029,11.32,2018-10-11 16:50:22
46,20181001,UBI7,NEO,1242540000.0,8.76829363882991,19.0,2018-10-11 16:50:22
45,20181001,UBI7,ADA,2119782595.18024,11.4526386204389,0.084907,2018-10-11 16:50:22
44,20181001,UBI7,XLM,4215383915.09104,16.150220758665,0.259686,2018-10-11 16:50:22
43,20181001,UBI7,EOS,5020597953.72,17.6253446674779,5.73,2018-10-11 16:50:22
42,20181001,UBI7,ETH,23224502871.7053,30.0,231.87,2018-10-11 16:50:22
41,20181101,UBI7,XEM,880809299.902133,7.50712465660522,0.092279,2018-11-03 10:58:44
40,20181101,UBI7,ETC,1054073302.093,8.2123620701075,9.05,2018-11-03 10:58:44
39,20181101,UBI7,NEO,1091978333.33333,8.35871836182341,15.45,2018-11-03 10:58:44
38,20181101,UBI7,ADA,1988344446.85217,11.279205052633,0.070109,2018-11-03 10:58:44
37,20181101,UBI7,XLM,4440047955.7756,16.8549128825637,0.225115,2018-11-03 10:58:44
36,20181101,UBI7,EOS,4945077527.22,17.7876769762672,5.42,2018-11-03 10:58:44
35,20181101,UBI7,ETH,21520897180.2617,30.0,199.95,2018-11-03 10:58:44
34,20181201,UBI7,ETC,776134510.552069,7.75080702112995,4.51,2018-12-01 16:00:40
33,20181201,UBI7,XEM,789850861.981204,7.81899571110572,0.075247,2018-12-01 16:00:40
32,20181201,UBI7,NEO,804498275.862069,7.8911624779074,7.59,2018-12-01 16:00:40
31,20181201,UBI7,ADA,1540539147.41146,10.9198028145888,0.038332,2018-12-01 16:00:40
30,20181201,UBI7,EOS,4045915704.39517,17.696478049981,2.85,2018-12-01 16:00:40
29,20181201,UBI7,XLM,4150043326.57433,17.9227539252871,0.15719,2018-12-01 16:00:40
28,20181201,UBI7,ETH,17409491821.3397,30.0,111.65,2018-12-01 16:00:40
27,20190101,UBI7,NEO,451056666.666667,7.69439421338042,7.49,2019-01-01 16:00:54
26,20190101,UBI7,ETC,473989133.326,7.88756720523404,5.09,2019-01-01 16:00:54
25,20190101,UBI7,XEM,635193599.929423,9.13086531684899,0.063732,2019-01-01 16:00:54
24,20190101,UBI7,ADA,937780412.888091,11.0945440497019,0.040953,2019-01-01 16:00:54
23,20190101,UBI7,EOS,2126957291.946,16.7085308497301,2.57,2019-01-01 16:00:54
22,20190101,UBI7,XLM,2328995890.36843,17.4840983651046,0.113339,2019-01-01 16:00:54
21,20190101,UBI7,ETH,11290236617.721,30.0,134.75,2019-01-01 16:00:54
20,20190201,UBI7,ETC,479083146.0755,7.97376780460976,,2019-02-01 16:00:58
19,20190201,UBI7,NEO,496697500.0,8.11902961451825,,2019-02-01 16:00:58
18,20190201,UBI7,XEM,510150149.943317,8.22824373523843,,2019-02-01 16:00:58
17,20190201,UBI7,ADA,1113148957.41791,12.1544351394204,,2019-02-01 16:00:58
16,20190201,UBI7,XLM,1996231316.00785,16.2765954979919,,2019-02-01 16:00:58
15,20190201,UBI7,EOS,2241597299.373,17.2479282082212,,2019-02-01 16:00:58
14,20190201,UBI7,ETH,13003508963.853,30.0,,2019-02-01 16:00:58
13,20190301,UBI7,XEM,394589249.956157,7.32526460158592,,2019-03-01 16:01:16
12,20190301,UBI7,ETC,450944747.4975,7.83091226865263,,2019-03-01 16:01:16
11,20190301,UBI7,NEO,541450000.0,8.58084132489227,,2019-03-01 16:01:16
10,20190301,UBI7,ADA,1076446596.36432,12.098929234458,,2019-03-01 16:01:16
9,20190301,UBI7,XLM,1590136957.40282,14.7050991749979,,2019-03-01 16:01:16
8,20190301,UBI7,EOS,2784438125.055,19.4589533954133,,2019-03-01 16:01:16
7,20190301,UBI7,ETH,13301348610.75,30.0,,2019-03-01 16:01:16
6,20190401,UBI7,XEM,441087749.95099,7.03458959917469,0.055765,2019-04-01 16:01:21
5,20190401,UBI7,ETC,499097462.376667,7.48288288618436,4.83,2019-04-01 16:01:21
4,20190401,UBI7,NEO,598189583.333333,8.19210840007005,9.97,2019-04-01 16:01:21
3,20190401,UBI7,ADA,1424258247.63159,12.640685867237,0.070445,2019-04-01 16:01:21
2,20190401,UBI7,XLM,2010833230.23207,15.0198049926495,0.109299,2019-04-01 16:01:21
1,20190401,UBI7,EOS,3434668997.22,19.6299282546844,4.21,2019-04-01 16:01:21
0,20190401,UBI7,ETH,14496538910.1675,30.0,142.53,2019-04-01 16:01:21
